Time_utc,BidAskSpread_bp,MidPrice_Open,MidPrice_High,MidPrice_Low,MidPrice_Close
2021-08-30 05:43:00,5.354494,480181.88,480247.44,480014.28,480101.12
2021-08-30 05:44:00,4.9970994,480101.12,480323.56,480041.25,480280.75
2021-08-30 05:45:00,5.835747,480280.75,480300.88,479983.62,479993.3
2021-08-30 05:46:00,4.800658,479993.3,480023.38,479828.12,479833.44
2021-08-30 05:47:00,4.88425,479833.44,480378.03,479721.4,480317.56
2021-08-30 05:48:00,5.0178404,480317.56,480383.38,479887.4,480144.75
2021-08-30 05:49:00,5.152671,480144.75,480213.6,479738.2,479770.06
2021-08-30 05:50:00,8.196271,479770.06,479821.2,479637.4,479671.47
2021-08-30 05:51:00,8.104208,479671.47,479742.5,479628.2,479700.72
2021-08-30 05:52:00,5.384534,479700.72,479995.88,479623.25,479902.1
2021-08-30 05:53:00,5.4627476,479902.1,480044.16,479777.38,479986.6
2021-08-30 05:54:00,5.346948,479986.6,480010.16,479953.62,479988.34
2021-08-30 05:55:00,4.972947,479988.34,480028.47,479801.7,479899.44
2021-08-30 05:56:00,4.8084803,479899.44,479948.7,479696.9,479910.7
2021-08-30 05:57:00,4.0203357,479910.7,479927.38,479802.16,479864.62
2021-08-30 05:58:00,4.8287444,479864.62,479995.9,479676.62,479980.25
2021-08-30 05:59:00,5.981648,479980.25,480128.5,479745.38,480085.12
2021-08-30 06:00:00,9.554172,480085.12,480302.2,480024.66,480239.06
2021-08-30 06:01:00,4.3641043,480239.06,480249.38,479884.0,479899.62
2021-08-30 06:02:00,7.9950094,479899.62,479902.78,479508.94,479624.38
2021-08-30 06:03:00,8.97897,479624.38,479646.53,479448.38,479505.8
2021-08-30 06:04:00,3.0147228,479505.8,479602.47,479275.75,479333.2
2021-08-30 06:05:00,3.8940256,479333.2,479350.56,478831.62,478927.28
2021-08-30 06:06:00,4.6981974,478927.28,479550.38,478917.62,479399.6
2021-08-30 06:07:00,6.391267,479399.6,479455.88,479034.56,479297.44
2021-08-30 06:08:00,4.513601,479297.44,479401.88,479072.06,479400.5
2021-08-30 06:09:00,5.4796696,479400.5,479653.8,479283.75,479607.2
2021-08-30 06:10:00,4.927597,479607.2,479769.7,479544.28,479725.3
2021-08-30 06:11:00,4.8887205,479725.3,479887.16,479610.8,479835.12
2021-08-30 06:12:00,5.1271124,479835.12,479879.16,479661.94,479710.16
2021-08-30 06:13:00,5.1878705,479710.16,479730.2,479160.94,479269.06
2021-08-30 06:14:00,4.56215,479269.06,479539.56,479034.62,479087.28
2021-08-30 06:15:00,5.251237,479087.28,479126.06,478892.06,479070.44
2021-08-30 06:16:00,5.101218,479070.44,479084.88,478894.12,478906.2
2021-08-30 06:17:00,5.459753,478906.2,479016.25,478844.2,479015.47
2021-08-30 06:18:00,5.4281983,479015.47,479259.22,478888.66,479210.16
2021-08-30 06:19:00,7.9515896,479210.16,479517.34,479202.1,479484.94
2021-08-30 06:20:00,6.0191994,479484.94,480045.1,479410.4,480010.12
2021-08-30 06:21:00,6.059062,480010.12,480225.47,479735.2,480168.34
2021-08-30 06:22:00,5.2697954,480168.34,480189.66,479934.0,479948.2
2021-08-30 06:23:00,4.74584,479948.2,480083.5,479822.66,480001.84
2021-08-30 06:24:00,7.294123,480001.84,480020.25,479682.53,479739.38
2021-08-30 06:25:00,8.574526,479739.38,479744.94,479370.25,479437.8
2021-08-30 06:26:00,5.8138666,479437.8,479637.97,479250.38,479271.03
2021-08-30 06:27:00,9.260275,479271.03,479284.78,479177.44,479209.3
2021-08-30 06:28:00,7.2361245,479209.3,479221.2,478836.0,479149.62
2021-08-30 06:29:00,5.4863224,479149.62,479293.0,478801.12,478811.38
2021-08-30 06:30:00,6.3293357,478811.38,478909.25,478523.94,478531.44
2021-08-30 06:31:00,5.959781,478531.44,478819.56,478370.12,478689.12
2021-08-30 06:32:00,7.368998,478689.12,478962.25,478397.25,478446.44
2021-08-30 06:33:00,6.563828,478446.44,478691.2,478190.56,478303.88
2021-08-30 06:34:00,6.582413,478303.88,478938.84,478095.7,478713.56
2021-08-30 06:35:00,7.300173,478713.56,478996.62,478154.2,478197.72
2021-08-30 06:36:00,9.259675,478197.72,478199.34,476436.8,476935.47
2021-08-30 06:37:00,10.383484,476935.47,480476.44,476914.2,479947.44
2021-08-30 06:38:00,9.183972,479947.44,480472.56,479185.25,480379.66
2021-08-30 06:39:00,7.2486696,480379.66,480817.72,480058.9,480793.6
2021-08-30 06:40:00,6.2496686,480793.6,481144.06,480730.06,481058.25
2021-08-30 06:41:00,8.605173,481058.25,481091.97,480175.53,480231.16
2021-08-30 06:42:00,7.846397,480231.16,480296.28,479653.5,479813.25
2021-08-30 06:43:00,7.323567,479813.25,479849.97,479508.56,479553.47
2021-08-30 06:44:00,7.288156,479553.47,479729.44,478821.0,479689.06
2021-08-30 06:45:00,5.249186,479689.06,479743.34,479358.88,479434.78
2021-08-30 06:46:00,6.341826,479434.78,479461.94,479029.75,479120.84
2021-08-30 06:47:00,7.350472,479120.84,479775.34,478982.8,479613.8
2021-08-30 06:48:00,6.357084,479613.8,480027.44,479479.97,479998.94
2021-08-30 06:49:00,9.248195,479998.94,480087.78,479922.06,480040.88
2021-08-30 06:50:00,6.651592,480040.88,480915.66,479984.94,480867.12
2021-08-30 06:51:00,7.263172,480867.12,480902.06,480341.97,480341.97
2021-08-30 06:52:00,7.549503,480341.97,480719.16,480310.4,480406.38
2021-08-30 06:53:00,7.1284723,480406.38,480424.75,480076.28,480141.56
2021-08-30 06:54:00,6.9080963,480141.56,480689.2,480108.9,480356.94
2021-08-30 06:55:00,5.686486,480356.94,480781.94,480088.8,480498.62
2021-08-30 06:56:00,7.2997,480498.62,480769.7,480392.75,480441.12
2021-08-30 06:57:00,8.995613,480441.12,480491.0,480367.12,480399.84
2021-08-30 06:58:00,4.943547,480399.84,480482.88,480122.88,480145.5
2021-08-30 06:59:00,4.6705575,480145.5,480201.84,480042.56,480166.2
2021-08-30 07:00:00,4.5126047,480166.2,480202.3,480053.5,480074.75
2021-08-30 07:01:00,6.0214186,480074.75,480075.56,479212.97,479268.34
2021-08-30 07:02:00,5.127408,479268.34,479377.38,479186.88,479283.25
2021-08-30 07:03:00,5.095451,479283.25,479533.25,479006.6,479037.0
2021-08-30 07:04:00,3.68162,479037.0,479167.75,478958.25,479009.56
2021-08-30 07:05:00,2.7903268,479009.56,479019.12,478882.3,478898.8
2021-08-30 07:06:00,6.155245,478898.8,479305.38,478448.3,479251.44
2021-08-30 07:07:00,7.1445837,479251.44,479283.75,478576.88,478635.03
2021-08-30 07:08:00,5.158578,478635.03,479066.56,478523.8,479043.38
2021-08-30 07:09:00,4.8958945,479043.38,479065.56,478623.34,478667.88
